sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,base_signal
orthogonalized,piotroski_lite__net_bm_size_liq,Existing PIT Piotroski-lite score; orthogonalized to B/M+size+liquidity,6m,31,1919,-0.01654531407231416,0.012162876784769962,0.13302926457537853,0.5161290322580645,-0.42258796581641217,0.672595908287392,piotroski_lite
orthogonalized,piotroski_lite__net_bm_size_liq,Existing PIT Piotroski-lite score; orthogonalized to B/M+size+liquidity,12m,25,1528,0.0011627914463620103,-0.027574223766714513,0.1360868563264398,0.44,0.01859060300904772,0.985167699254516,piotroski_lite
orthogonalized,conservative_investment__net_bm,-asset growth; orthogonalized to B/M,1m,37,2276,0.0023707922527762154,-0.0003021908840041544,0.13179368968974436,0.4864864864864865,0.10741780656339837,0.9144575286435712,conservative_investment
orthogonalized,conservative_investment__net_bm,-asset growth; orthogonalized to B/M,3m,35,2142,0.015389448183794615,0.016258741258741258,0.15629764314655054,0.5428571428571428,0.44895703412867033,0.6534626515800999,conservative_investment
orthogonalized,conservative_investment__net_bm,-asset growth; orthogonalized to B/M,6m,32,1941,0.02980056819801273,0.028780438669386316,0.11393434685218749,0.5625,0.855671849970345,0.39217931508431136,conservative_investment
orthogonalized,conservative_investment__net_bm,-asset growth; orthogonalized to B/M,12m,26,1550,0.019912756577648207,0.019998128303918894,0.06730561366327029,0.6153846153846154,4.693184245035361,2.68985028828439e-06,conservative_investment
orthogonalized,conservative_investment__net_bm_size_liq,-asset growth; orthogonalized to B/M+size+liquidity,1m,36,2254,-0.01313679367179966,-0.021435992836706746,0.11293651639098974,0.4166666666666667,-0.6936142156554608,0.48792417632210894,conservative_investment
orthogonalized,conservative_investment__net_bm_size_liq,-asset growth; orthogonalized to B/M+size+liquidity,3m,34,2120,0.009078829718749841,0.016175168049804824,0.14275211135301566,0.5588235294117647,0.28687096360977177,0.7742111241382228,conservative_investment
orthogonalized,conservative_investment__net_bm_size_liq,-asset growth; orthogonalized to B/M+size+liquidity,6m,31,1919,0.02559883850151529,0.006672427035330261,0.1177447663056645,0.5806451612903226,0.7807805564999657,0.4349315716441713,conservative_investment
orthogonalized,conservative_investment__net_bm_size_liq,-asset growth; orthogonalized to B/M+size+liquidity,12m,25,1528,0.007393563174680317,0.0016871899473697466,0.05017775058097281,0.56,0.6876706255647866,0.49166022199032033,conservative_investment
orthogonalized,low_leverage__net_bm,-debt/assets; orthogonalized to B/M,1m,49,2399,0.010553723941094544,0.04219989423585403,0.2137317398262747,0.5510204081632653,0.38841592737861697,0.6977082593394766,low_leverage
orthogonalized,low_leverage__net_bm,-debt/assets; orthogonalized to B/M,3m,47,2265,0.058971848040926006,0.0384193339448428,0.21804535280033588,0.6595744680851063,1.3658965898862405,0.1719714232433911,low_leverage
orthogonalized,low_leverage__net_bm,-debt/assets; orthogonalized to B/M,6m,44,2064,0.058441164608681324,0.08801402634030872,0.27907336031190205,0.7272727272727273,0.9638731305451115,0.3351095364922996,low_leverage
