symbol,as_of_date,fair_value,close,valuation_gap,usable_model_count,confidence_score,warnings
DHO,2025-12-31,27.075383443694392,77.0,-0.6483716435883845,6,0.888618989538825,ic_weight_fallback_for_uncovered_models
DWY,2025-12-31,646.2063685775936,880.0,-0.2656745811618254,4,0.8024088926030546,ic_weight_fallback_for_uncovered_models
DYT,2025-12-31,377.1276044067847,350.0,0.07750744116224206,4,0.8074262482496843,ic_weight_fallback_for_uncovered_models
EQD,2025-12-31,,1297.0,,0,,no_usable_valuation_models
FBR,2025-12-31,,381.55,,3,0.6056802793184402,fcff_dcf_severe_fcf_quality_warning;fcfe_dcf_severe_fcf_quality_warning;ic_weight_fallback_for_uncovered_models;headline_review_required_extreme_upside;headline_review_weak_model_coverage;headline_review_weak_method_class_agreement;headline_review_lone_thin_comp
GAZ,2025-12-31,2401.7757121224727,4040.0,-0.40550106135582364,5,0.9494950885154918,fcff_dcf_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
GTM,2025-12-31,,915.0,,0,,no_usable_valuation_models
HPS,2025-12-31,218.897325820226,556.0,-0.6062997737046295,5,0.8428674500798408,fcfe_dcf_severe_fcf_quality_warning;ic_weight_fallback_for_uncovered_models
IAM,2025-12-31,,109.075,,3,0.7983339256970698,fcff_dcf_terminal_value_dominates_dcf;fcfe_dcf_terminal_value_dominates_dcf;justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models;headline_review_required_extreme_downside;headline_review_weak_model_coverage;headline_review_weak_method_class_agreement
IBC,2025-12-31,,69.5,,0,,no_usable_valuation_models
IMO,2025-12-31,43.42540281750474,91.65,-0.5261821842061676,3,0.7967148527287196,fcfe_dcf_severe_fcf_quality_warning;ic_weight_fallback_for_uncovered_models
INV,2025-12-31,138.94606166642973,182.0,-0.23656010073390255,3,0.495,ic_weight_fallback_for_uncovered_models
JET,2025-12-31,3386.0035842037605,2650.0,0.27773720158632464,3,0.7480241006522224,fcff_dcf_terminal_value_dominates_dcf;fcfe_dcf_terminal_value_dominates_dcf;justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
LBV,2025-12-31,1237.7474759773086,4600.0,-0.7309244617440633,4,0.7949330019111369,ic_weight_fallback_for_uncovered_models
LES,2025-12-31,81.19451945880392,360.0,-0.7744596681699891,6,0.7716124835564192,ic_weight_fallback_for_uncovered_models
LHM,2025-12-31,,1840.0,,6,0.9140073557936428,ic_weight_fallback_for_uncovered_models;headline_review_shared_input_bias;headline_review_confident_downside_low_information
M2M,2025-12-31,459.4704740450123,464.9,-0.011678911497069677,1,0.675,headline_review_shared_input_bias
MAB,2025-12-31,,943.0,,0,,no_usable_valuation_models
MDP,2025-12-31,14.443418339355041,26.53,-0.4555816683243482,3,0.4863492603567552,fcfe_dcf_terminal_value_dominates_dcf;ic_weight_fallback_for_uncovered_models
MIC,2025-12-31,604.0915176819899,799.7,-0.24460232877080168,4,0.9252216242568951,fcff_dcf_excluded_cross_model_outlier;justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
MLE,2025-12-31,,360.0,,0,,no_usable_valuation_models
MNG,2025-12-31,,6400.0,,4,0.9049674921638469,ic_weight_fallback_for_uncovered_models;headline_review_shared_input_bias;headline_review_confident_downside_low_information
MOX,2025-12-31,539.2106012898522,413.9,0.3027557412173285,3,0.495,ic_weight_fallback_for_uncovered_models
MSA,2025-12-31,370.44013539474633,950.0,-0.6100630153739512,5,0.9213844608340633,justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
MUT,2025-12-31,370.6469993442761,250.0,0.48258799737710434,4,0.7383304875112335,fcff_dcf_severe_terminal_value_warning;fcfe_dcf_severe_fcf_quality_warning;ic_weight_fallback_for_uncovered_models
NKL,2025-12-31,,54.0,,0,,no_usable_valuation_models
OUL,2025-12-31,946.0840612714076,1182.0,-0.19959047269762475,4,0.7421131332249665,ic_weight_fallback_for_uncovered_models
RDS,2025-12-31,,161.0,,1,0.675,headline_review_shared_input_bias;headline_review_required_extreme_upside;headline_review_weak_model_coverage
REB,2025-12-31,,106.25,,1,0.675,ddm_severe_dividend_quality_warning;headline_review_shared_input_bias;headline_review_required_extreme_upside;headline_review_weak_model_coverage
RIS,2025-12-31,197.21855197350772,370.0,-0.4669768865580872,3,0.495,ic_weight_fallback_for_uncovered_models
S2M,2025-12-31,640.619479894744,585.0,0.09507603400810938,5,0.8735632419315595,ic_weight_fallback_for_uncovered_models
SAH,2025-12-31,,2140.0,,0,,no_usable_valuation_models
SBM,2025-12-31,992.0820475120515,2290.0,-0.566776398466353,6,0.8440896879459409,ic_weight_fallback_for_uncovered_models
SID,2025-12-31,1078.8141174210255,2227.0,-0.5155751605653232,4,0.6152523279429137,ic_weight_fallback_for_uncovered_models;headline_review_shared_input_bias
SLF,2025-12-31,,530.0,,0,,no_usable_valuation_models
SMI,2025-12-31,1945.5647421494446,4100.0,-0.5254720141098916,3,0.7630693789845135,justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models;headline_review_shared_input_bias
SNA,2025-12-31,,94.0,,2,0.5066979844847888,residual_income_severe_book_value_quality_warning;ic_weight_fallback_for_uncovered_models;headline_review_required_extreme_upside;headline_review_weak_model_coverage;headline_review_weak_method_class_agreement;headline_review_lone_thin_comp
SNP,2025-12-31,,480.0,,0,,no_usable_valuation_models
SRM,2025-12-31,,496.95,,2,0.37249999999999994,ic_weight_fallback_for_uncovered_models;headline_review_required_extreme_upside;headline_review_weak_model_coverage;headline_review_weak_method_class_agreement
STR,2025-12-31,,245.0,,3,0.7747004404210457,ic_weight_fallback_for_uncovered_models;headline_review_required_extreme_upside;headline_review_weak_model_coverage;headline_review_weak_method_class_agreement
TGC,2025-12-31,234.61707173759413,906.1,-0.7410693392146628,5,0.9545239941654042,justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
TMA,2025-12-31,407.8313945257921,1745.0,-0.7662857337961076,5,0.8842910319447825,justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
TQM,2025-12-31,,2120.0,,0,,no_usable_valuation_models
VCN,2025-12-31,,449.9,,0,,no_usable_valuation_models
WAA,2025-12-31,,4804.0,,0,,no_usable_valuation_models
ZDJ,2025-12-31,,204.05,,3,0.45352115948453947,fcff_dcf_severe_fcf_quality_warning;fcfe_dcf_severe_fcf_quality_warning;ic_weight_fallback_for_uncovered_models;headline_review_shared_input_bias;headline_review_required_extreme_upside;headline_review_weak_model_coverage;headline_review_weak_method_class_agreement;headline_review_lone_thin_comp
ADH,2026-03-31,18.555145435143356,29.15,-0.36345984785099983,3,0.7558756925647807,ic_weight_fallback_for_uncovered_models
ADI,2026-03-31,381.0507248690242,413.9,-0.0793652455447591,3,0.7750168787018903,fcff_dcf_terminal_value_dominates_dcf;fcfe_dcf_terminal_value_dominates_dcf;residual_income_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
AFI,2026-03-31,441.75835406775155,335.0,0.31868165393358683,5,0.9800019538958855,fcff_dcf_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
AFM,2026-03-31,638.5132276824409,1249.0,-0.4887804422078136,3,0.8263760645768135,justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
AGM,2026-03-31,7221.705553763592,7020.0,0.02873298486660869,4,0.8801312386018865,ic_weight_fallback_for_uncovered_models
AKT,2026-03-31,501.4321288456938,1110.0,-0.5482593433822578,4,0.8256138004182512,fcff_dcf_terminal_value_dominates_dcf;fcfe_dcf_terminal_value_dominates_dcf;ic_weight_fallback_for_uncovered_models
ALM,2026-03-31,2074.3475566389843,1817.0,0.14163321774297422,3,0.8283010614733264,fcff_dcf_terminal_value_dominates_dcf;fcfe_dcf_terminal_value_dominates_dcf;justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models;headline_review_shared_input_bias
ARD,2026-03-31,552.2105578377589,404.95,0.36365121086000474,4,0.7142910031834842,fcfe_dcf_terminal_value_dominates_dcf;ic_weight_fallback_for_uncovered_models
ATH,2026-03-31,68.37209457771687,78.05,-0.12399622578197478,4,0.7609977698555671,fcff_dcf_terminal_value_dominates_dcf;fcfe_dcf_terminal_value_dominates_dcf;ic_weight_fallback_for_uncovered_models
ATL,2026-03-31,,132.0,,0,,no_usable_valuation_models
ATW,2026-03-31,498.68167915270976,684.9,-0.27189125543479375,4,0.8960371099530478,ic_weight_fallback_for_uncovered_models
