method,fold,fwd_horizon,n,utility_mean,utility_sum,ic,ic_tstat,hit_rate,coverage,cost_bps,train_start,train_end,test_start,test_end
ridge_linear,1,15,1908,0.003942075250650205,7.521479578240592,0.05327367085407646,1.1189730443070873,0.5424452749599573,0.9816561844863732,10.0,2002-03-04,2007-04-06,2007-04-30,2011-03-25
isotonic_calibrated,1,15,1908,0.0024147996942131818,4.60743781655875,-0.0068550458531010895,-0.12108555149139617,0.5277777777777778,1.0,10.0,2002-03-04,2007-04-06,2007-04-30,2011-03-25
topsis_category,1,15,1908,0.0027492750779911407,5.245616848807097,0.00425122856336252,0.07478156993259477,0.5305429864253394,0.9266247379454927,10.0,2002-03-04,2007-04-06,2007-04-30,2011-03-25
topsis_action,1,15,1908,0.0004663222991516593,0.889742946781366,-0.01957546184687069,-0.3395309467648304,0.49502262443438916,0.5791404612159329,10.0,2002-03-04,2007-04-06,2007-04-30,2011-03-25
ahp_topsis_prior,1,15,1908,0.0027868104541594065,5.317234346536147,0.005111665512184892,0.09163232733562082,0.5305570578691184,0.9690775681341719,10.0,2002-03-04,2007-04-06,2007-04-30,2011-03-25
baseline_fixed,2,15,972,0.003425912527491085,3.3299869767213344,0.16665966834278953,2.1385995711796,0.5648038049940547,0.8652263374485597,10.0,2002-03-04,2011-03-04,2011-03-28,2018-06-14
threshold_optimized,2,15,972,-0.0016117659348788033,-1.5666364887021968,0.16665966834278953,2.1385995711796,0.4662756598240469,0.7016460905349794,10.0,2002-03-04,2011-03-04,2011-03-28,2018-06-14
ridge_linear,2,15,972,-0.004120517616840367,-4.005143123568836,0.11050372262327302,1.6943392897034553,0.44111570247933884,0.9958847736625515,10.0,2002-03-04,2011-03-04,2011-03-28,2018-06-14
isotonic_calibrated,2,15,972,-0.0032003075688601217,-3.1106989569320382,0.1292431868946606,1.6272711382165652,0.44753086419753085,1.0,10.0,2002-03-04,2011-03-04,2011-03-28,2018-06-14
topsis_category,2,15,972,-0.00041184091935942633,-0.4003093736173624,0.2184743436499584,3.092404334871128,0.4907103825136612,0.941358024691358,10.0,2002-03-04,2011-03-04,2011-03-28,2018-06-14
topsis_action,2,15,972,0.0023800384892893904,2.3133974115892872,0.16665839302626337,2.222320173627329,0.5736040609137056,0.6080246913580247,10.0,2002-03-04,2011-03-04,2011-03-28,2018-06-14
ahp_topsis_prior,2,15,972,-0.0005758454967728504,-0.5597218228632106,0.18984784377816522,2.7477736733693563,0.49359886201991465,0.7232510288065843,10.0,2002-03-04,2011-03-04,2011-03-28,2018-06-14
baseline_fixed,3,15,1876,-0.0004174462361259761,-0.7831291389723312,0.04806326715342043,0.8849799992216807,0.5079006772009029,0.9445628997867804,10.0,2002-03-04,2015-02-03,2018-06-18,2022-05-24
threshold_optimized,3,15,1876,-0.0014551631653151403,-2.729886098131203,0.04806326715342043,0.8849799992216807,0.5364154528182394,0.841684434968017,10.0,2002-03-04,2015-02-03,2018-06-18,2022-05-24
